epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3321,2.55493,3.6659,2.37426,0.00373,0.6,0.06105,0.0133,3.72981,4.47795,3.44728,0,0,0
2,15.5248,2.72381,3.43331,2.47359,0.00374,0.6,0.06076,0.01276,3.69842,4.39643,3.39777,1.6505e-05,1.6505e-05,1.6505e-05
3,18.541,2.89333,3.56027,2.46763,0.00372,0.6,0.04323,0.00962,3.49199,4.33874,3.17198,3.26799e-05,3.26799e-05,3.26799e-05
4,21.3563,2.75434,3.57862,2.48026,0.00375,0.6,0.03372,0.00825,3.28065,4.33346,3.01592,4.85247e-05,4.85247e-05,4.85247e-05
5,24.0825,2.95261,3.69983,2.65062,0.00377,0.6,0.05735,0.01513,3.27925,4.50747,2.817,6.40395e-05,6.40395e-05,6.40395e-05
6,26.9836,2.40273,3.51214,2.21759,0.00377,0.6,0.19655,0.03853,2.98804,4.28205,2.55761,7.92242e-05,7.92242e-05,7.92242e-05
7,29.8077,1.9849,3.62441,2.15527,0.00386,0.6,0.38143,0.10296,2.58863,4.26939,2.28869,9.40788e-05,9.40788e-05,9.40788e-05
8,32.8051,2.49054,3.64391,2.37449,0.00393,0.6,0.46308,0.17082,2.30018,4.00379,2.11418,0.000108603,0.000108603,0.000108603
9,35.4134,1.87584,3.15982,1.88593,0.00393,0.6,0.46308,0.17082,2.30018,4.00379,2.11418,0.000122798,0.000122798,0.000122798
10,38.3218,1.93095,3.21724,2.02882,0.00463,0.7,0.51212,0.19161,1.94237,3.82929,1.95489,0.000136662,0.000136662,0.000136662
11,40.9641,1.75341,3.46608,1.82527,0.00463,0.7,0.51212,0.19161,1.94237,3.82929,1.95489,0.000150197,0.000150197,0.000150197
12,44.4985,2.06677,3.19705,2.07652,0.006,0.9,0.48627,0.19752,1.78012,3.75374,1.84715,0.000163401,0.000163401,0.000163401
13,47.1345,1.72589,3.07026,1.79327,0.006,0.9,0.48627,0.19752,1.78012,3.75374,1.84715,0.000176275,0.000176275,0.000176275
14,50.0454,2.25483,3.39081,2.1482,0.00536,0.8,0.51887,0.2561,1.77086,3.67791,1.80023,0.000188819,0.000188819,0.000188819
15,52.7182,1.93924,3.06675,1.86656,0.00536,0.8,0.51887,0.2561,1.77086,3.67791,1.80023,0.000201034,0.000201034,0.000201034
16,55.5719,1.68514,3.12534,1.69454,0.00417,0.6,0.53811,0.24767,1.79635,3.56959,1.78786,0.000212918,0.000212918,0.000212918
17,58.2466,1.67877,2.70487,1.59088,0.00417,0.6,0.53811,0.24767,1.79635,3.56959,1.78786,0.000224472,0.000224472,0.000224472
18,61.1803,1.64663,2.68528,1.62209,0.00509,0.7,0.49235,0.2431,1.6821,3.47335,1.71434,0.000235695,0.000235695,0.000235695
19,64.2373,1.26975,2.44066,1.49418,0.00509,0.7,0.49235,0.2431,1.6821,3.47335,1.71434,0.000246589,0.000246589,0.000246589
20,67.3227,1.3138,2.30237,1.46227,0.00521,0.7,0.53068,0.31046,1.44011,3.36401,1.53524,0.000257153,0.000257153,0.000257153
21,70.4623,1.3687,2.06462,1.46591,0.00521,0.7,0.53068,0.31046,1.44011,3.36401,1.53524,0.000267387,0.000267387,0.000267387
22,73.4277,1.86123,2.70881,1.58163,0.00691,1,0.71708,0.38407,1.34481,3.18799,1.46005,0.00027729,0.00027729,0.00027729
23,76.5166,1.12296,2.03628,1.33828,0.00691,1,0.71708,0.38407,1.34481,3.18799,1.46005,0.000286864,0.000286864,0.000286864
24,79.5209,1.38209,2.16563,1.43275,0.00691,1,0.71708,0.38407,1.34481,3.18799,1.46005,0.000296108,0.000296108,0.000296108
25,83.0766,1.5764,2.24139,1.52961,0.00671,1,0.995,0.69105,1.09729,2.66552,1.06413,0.000305021,0.000305021,0.000305021
26,85.8291,1.31258,1.84687,1.41518,0.00671,1,0.995,0.69105,1.09729,2.66552,1.06413,0.000313604,0.000313604,0.000313604
27,88.8973,1.49354,1.75758,1.44123,0.00671,1,0.995,0.69105,1.09729,2.66552,1.06413,0.000321858,0.000321858,0.000321858
28,93.1196,1.54978,1.78833,1.51874,0.99549,0.94162,0.995,0.71913,1.04628,2.40296,1.03058,0.000329781,0.000329781,0.000329781
29,96.3629,1.30769,2.01945,1.38491,0.99549,0.94162,0.995,0.71913,1.04628,2.40296,1.03058,0.000337374,0.000337374,0.000337374
30,99.228,1.65417,2.1582,1.6422,0.99549,0.94162,0.995,0.71913,1.04628,2.40296,1.03058,0.000344637,0.000344637,0.000344637
31,101.993,1.16802,1.77936,1.36209,0.98263,0.94325,0.995,0.7137,1.0621,2.32205,1.00215,0.00035157,0.00035157,0.00035157
32,104.854,1.40244,1.52343,1.28043,0.98263,0.94325,0.995,0.7137,1.0621,2.32205,1.00215,0.000358173,0.000358173,0.000358173
33,107.489,1.36295,2.00866,1.41038,0.98263,0.94325,0.995,0.7137,1.0621,2.32205,1.00215,0.000364446,0.000364446,0.000364446
34,110.375,1.00011,1.51236,1.20476,1,0.63479,0.995,0.70284,1.07197,2.3966,1.01971,0.000370389,0.000370389,0.000370389
35,113.086,1.2041,1.78564,1.37082,1,0.63479,0.995,0.70284,1.07197,2.3966,1.01971,0.000376002,0.000376002,0.000376002
36,116.017,1.20928,1.73727,1.29628,1,0.63479,0.995,0.70284,1.07197,2.3966,1.01971,0.000381285,0.000381285,0.000381285
37,118.697,1.21615,1.55139,1.21954,1,0.63479,0.995,0.70284,1.07197,2.3966,1.01971,0.000386237,0.000386237,0.000386237
38,121.516,1.20526,1.50495,1.23547,1,0.47249,0.995,0.70679,1.09044,2.51998,1.06491,0.00039086,0.00039086,0.00039086
39,124.171,1.16328,1.5739,1.32843,1,0.47249,0.995,0.70679,1.09044,2.51998,1.06491,0.000395152,0.000395152,0.000395152
40,126.995,0.9557,1.83242,1.19891,1,0.47249,0.995,0.70679,1.09044,2.51998,1.06491,0.000399115,0.000399115,0.000399115
41,130.632,1.33533,1.49466,1.30056,1,0.47249,0.995,0.70679,1.09044,2.51998,1.06491,0.000402747,0.000402747,0.000402747
42,133.435,1.15505,1.41217,1.18283,1,0.4872,0.995,0.64493,1.13019,2.45032,1.1074,0.00040605,0.00040605,0.00040605
43,136.352,1.34827,1.78992,1.31028,1,0.4872,0.995,0.64493,1.13019,2.45032,1.1074,0.000409022,0.000409022,0.000409022
